year,mean_f1,mean_f2,mean_f3,mean_m1,mean_m2,mean_m3,mean_vac_3,mean_vac_2,mean_vac_1,mean_prom1,mean_prom2,mean_gendprop,mean_unfilled,mean_dept_size,mean_f_hire_3,mean_m_hire_3,mean_f_hire_2,mean_m_hire_2,mean_f_hire_1,mean_m_hire_1,mean_f_prom_3,mean_m_prom_3,mean_f_prom_2,mean_m_prom_2,mean_f_prom_1,mean_m_prom_1,std_f1,std_f2,std_f3,std_m1,std_m2,std_m3,std_vac_3,std_vac_2,std_vac_1,std_prom1,std_prom2,std_gendprop,std_unfilled,std_dept_size,std_f_hire_3,std_m_hire_3,std_f_hire_2,std_m_hire_2,std_f_hire_1,std_m_hire_1,std_f_prom_3,std_m_prom_3,std_f_prom_2,std_m_prom_2,std_f_prom_1,std_m_prom_1,f1_025,f2_025,f3_025,m1_025,m2_025,m3_025,vac_3_025,vac_2_025,vac_1_025,prom1_025,prom2_025,gendprop_025,unfilled_025,dept_size_025,f_hire_3_025,m_hire_3_025,f_hire_2_025,m_hire_2_025,f_hire_1_025,m_hire_1_025,f_prom_3_025,m_prom_3_025,f_prom_2_025,m_prom_2_025,f_prom_1_025,m_prom_1_025,f1_975,f2_975,f3_975,m1_975,m2_975,m3_975,vac_3_975,vac_2_975,vac_1_975,prom_1_975,prom2_975,gendprop_975,unfilled_975,dept_size_975,f_hire_3_975,m_hire_3_975,f_hire_2_975,m_hire_2_975,f_hire_1_975,m_hire_1_975,f_prom_3_975,m_prom_3_975,f_prom_2_975,m_prom_2_975,f_prom_1_975,m_prom_1_975
0,3.0,3.0,2.0,11.0,12.0,43.0,8.31,5.9,5.3,0.06,0.19,0.11,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,11.0,12.0,43.0,8.31,5.9,5.3,0.06,0.19,0.11,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,11.0,12.0,43.0,8.31,5.9,5.3,0.06,0.19,0.11,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.19,2.66,2.5,11.83,10.79,43.03,1.84,2.57,1.49,0.06,0.19,0.13,0.0,74.0,0.03,0.47,0.13,0.22,0.44,2.07,0.0,0.0,0.61,1.26,0.14,0.53,0.74,0.82,0.74,1.67,1.66,1.62,1.31,1.51,1.33,0.0,0.0,0.01,0.0,0.0,0.17,0.67,0.36,0.5,0.59,1.23,0.0,0.0,0.68,1.12,0.4,0.79,2.0,1.0,1.0,8.48,8.0,40.0,0.0,0.0,0.0,0.06,0.19,0.1,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,4.0,4.0,15.0,14.0,46.0,5.52,5.0,5.0,0.06,0.19,0.16,0.0,74.0,0.52,2.0,1.0,2.0,2.0,5.0,0.0,0.0,2.0,3.0,1.0,3.0
2,3.18,2.53,2.88,12.62,9.84,43.07,2.04,2.38,1.79,0.06,0.19,0.13,1.2,74.12,0.07,0.6,0.18,0.25,0.36,2.21,0.0,0.0,0.52,1.27,0.21,0.66,1.14,1.14,1.01,2.21,2.15,2.19,1.36,1.41,1.41,0.0,0.0,0.02,0.81,1.44,0.26,0.8,0.46,0.48,0.59,1.75,0.0,0.0,0.67,1.11,0.48,0.78,1.0,1.0,1.0,9.0,6.0,38.47,0.0,0.0,0.0,0.06,0.19,0.1,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,17.0,14.0,47.52,5.0,5.0,4.52,0.06,0.19,0.17,3.0,77.0,1.0,2.52,1.52,1.0,2.0,6.0,0.0,0.0,2.0,3.52,1.52,2.0
3,3.22,2.37,3.15,13.25,9.11,43.04,1.92,2.13,1.86,0.06,0.19,0.13,1.38,74.14,0.09,0.38,0.2,0.23,0.36,2.17,0.0,0.0,0.5,1.19,0.14,0.67,1.29,1.16,1.13,2.65,2.22,2.71,1.3,1.45,1.36,0.0,0.0,0.03,1.11,1.27,0.29,0.56,0.45,0.47,0.61,1.89,0.0,0.0,0.66,1.19,0.37,0.81,1.0,1.0,1.0,8.0,5.0,38.0,0.0,0.0,0.0,0.06,0.19,0.09,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52,5.0,5.0,19.0,14.0,48.0,4.52,5.0,5.0,0.06,0.19,0.19,4.0,76.52,1.0,2.0,1.0,1.0,2.0,6.0,0.0,0.0,2.0,4.0,1.0,2.0
4,3.7,2.41,3.59,14.79,8.81,42.76,2.04,1.91,1.87,0.06,0.19,0.15,2.3,76.06,0.18,0.67,0.3,0.47,0.77,3.12,0.0,0.0,0.43,0.92,0.17,0.71,1.45,1.27,1.27,3.08,2.06,3.27,1.5,1.46,1.18,0.0,0.0,0.03,1.75,1.5,0.38,0.91,0.52,0.71,0.8,2.04,0.0,0.0,0.65,0.91,0.43,0.74,1.0,0.0,1.0,9.48,5.0,36.0,0.0,0.0,0.0,0.06,0.19,0.1,0.0,73.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,5.0,6.0,21.0,12.0,48.0,5.0,5.0,4.0,0.06,0.19,0.21,6.0,79.0,1.0,3.0,1.52,2.0,2.0,7.0,0.0,0.0,2.0,3.0,1.0,3.0
5,4.03,2.39,3.91,16.47,8.64,42.62,2.03,1.95,2.17,0.06,0.19,0.15,2.26,78.06,0.14,0.54,0.28,0.4,0.76,3.42,0.0,0.0,0.5,1.03,0.2,0.88,1.65,1.33,1.44,3.24,2.21,3.34,1.22,1.4,1.56,0.0,0.0,0.03,1.65,1.24,0.37,0.77,0.49,0.65,0.96,2.26,0.0,0.0,0.75,0.93,0.45,0.93,1.0,0.0,2.0,11.0,5.0,35.47,0.0,0.0,0.0,0.06,0.19,0.09,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,7.0,23.0,13.0,48.0,4.52,5.52,5.0,0.06,0.19,0.22,5.52,80.0,1.0,2.0,1.0,2.0,3.0,8.0,0.0,0.0,2.0,3.0,1.0,3.0
6,4.66,2.73,4.23,20.15,9.13,42.95,2.07,1.71,2.67,0.06,0.19,0.16,5.79,83.85,0.26,1.11,0.51,0.75,1.18,5.8,0.0,0.0,0.44,0.91,0.27,1.01,1.89,1.56,1.48,3.48,2.66,3.38,1.37,1.19,1.52,0.0,0.0,0.04,2.86,1.93,0.54,1.05,0.66,0.84,1.13,2.53,0.0,0.0,0.65,0.8,0.58,1.03,1.0,0.0,2.0,13.0,4.0,36.0,0.0,0.0,0.0,0.06,0.19,0.1,1.0,80.47,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,7.0,25.52,14.0,48.52,5.0,4.0,5.52,0.06,0.19,0.25,10.0,86.0,1.52,3.52,2.0,3.0,4.0,10.0,0.0,0.0,2.0,3.0,2.0,3.0
7,4.9,2.77,4.63,21.41,9.19,43.09,2.11,2.01,2.99,0.06,0.19,0.17,2.66,85.99,0.26,0.8,0.27,0.46,0.74,3.75,0.0,0.0,0.44,1.15,0.21,1.17,1.82,1.57,1.81,3.79,2.59,3.46,1.32,1.7,1.75,0.0,0.0,0.04,2.24,1.51,0.5,0.94,0.55,0.79,0.91,2.3,0.0,0.0,0.68,1.21,0.45,1.0,2.0,0.0,1.48,15.0,5.0,37.0,0.0,0.0,0.0,0.06,0.19,0.11,0.0,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,8.0,28.52,14.0,49.52,5.0,6.0,7.0,0.06,0.19,0.26,8.52,89.0,1.52,3.0,2.0,2.0,3.0,9.0,0.0,0.0,2.0,4.0,1.0,3.0
8,5.46,2.88,5.06,23.88,9.56,43.57,1.98,2.0,3.25,0.06,0.19,0.18,4.42,90.41,0.26,1.12,0.37,0.74,1.12,5.16,0.0,0.0,0.49,1.02,0.23,1.14,2.06,1.49,2.02,4.5,2.89,3.81,1.37,1.29,1.73,0.0,0.0,0.04,2.82,1.89,0.52,0.93,0.63,0.7,1.02,2.65,0.0,0.0,0.69,1.04,0.47,1.05,2.0,0.48,1.48,14.95,4.47,36.48,0.0,0.0,0.0,0.06,0.19,0.11,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,9.52,6.0,9.05,32.52,14.0,51.05,5.0,5.0,7.0,0.06,0.19,0.27,10.0,93.0,1.0,3.0,2.0,2.0,3.0,10.52,0.0,0.0,2.0,3.52,1.0,3.0
9,5.24,2.9,5.36,23.38,10.03,43.76,1.95,2.02,3.85,0.06,0.19,0.18,1.86,90.67,0.11,0.74,0.27,0.3,0.46,2.67,0.0,0.0,0.57,1.02,0.32,1.62,2.14,1.65,1.97,4.56,2.98,3.91,1.22,1.48,1.78,0.0,0.0,0.04,1.33,1.33,0.31,0.89,0.49,0.54,0.7,1.87,0.0,0.0,0.76,1.04,0.51,1.32,2.0,1.0,2.0,15.0,5.0,36.0,0.0,0.0,1.0,0.06,0.19,0.1,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52,7.0,10.0,32.0,15.52,50.52,4.0,5.0,7.52,0.06,0.19,0.29,5.0,93.0,1.0,3.0,1.0,2.0,2.0,6.52,0.0,0.0,2.0,3.0,1.0,4.52
10,5.23,2.83,5.46,22.8,10.17,43.74,2.01,1.96,3.5,0.06,0.19,0.18,1.48,90.23,0.04,0.61,0.17,0.34,0.55,2.36,0.0,0.0,0.46,0.98,0.22,1.3,2.01,1.39,1.99,4.61,2.93,4.18,1.47,1.43,1.64,0.0,0.0,0.04,1.19,1.43,0.2,0.77,0.4,0.53,0.71,1.95,0.0,0.0,0.74,0.93,0.44,0.98,2.0,0.48,2.0,14.48,5.0,34.95,0.0,0.0,1.0,0.06,0.19,0.1,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,6.0,10.0,31.52,16.0,50.52,6.0,5.0,7.52,0.06,0.19,0.27,4.52,92.52,1.0,2.52,1.0,1.52,2.0,6.52,0.0,0.0,2.0,3.0,1.0,3.0
11,4.91,2.89,5.54,21.39,9.87,43.83,2.05,2.34,3.65,0.06,0.19,0.18,1.96,88.43,0.06,0.45,0.14,0.28,0.36,1.56,0.0,0.0,0.5,1.21,0.42,1.26,1.98,1.5,2.08,4.21,2.76,4.16,1.61,1.7,1.87,0.0,0.0,0.04,1.49,1.34,0.24,0.67,0.42,0.57,0.67,1.63,0.0,0.0,0.66,1.3,0.65,1.05,2.0,0.0,2.0,13.48,5.0,35.47,0.0,0.0,1.0,0.06,0.19,0.1,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,6.0,9.0,29.0,15.0,51.0,5.0,5.52,8.0,0.06,0.19,0.26,5.0,91.0,1.0,2.0,1.52,1.0,2.0,5.52,0.0,0.0,2.0,4.0,2.0,4.0
